File, Count, Channel, Segment, Bin, Value
Feedback001, 1, EMG_Corr_RMS, 11, 14, 1.049191E-04
Feedback001, 1, EMG_Zygo_RMS, 11, 1, 8.358111E-04
Feedback001, 1, EMG_Zygo_RMS, 11, 2, 1.180334E-03
Feedback001, 1, EMG_Zygo_RMS, 11, 3, 0
Feedback001, 1, EMG_Zygo_RMS, 11, 4, 5.323521E-05
Feedback001, 1, EMG_Zygo_RMS, 11, 5, 4.497612E-04
Feedback001, 1, EMG_Zygo_RMS, 11, 6, 3.122971E-03
Feedback001, 1, EMG_Zygo_RMS, 11, 7, 9.514062E-03
Feedback001, 1, EMG_Zygo_RMS, 11, 8, 2.065076E-03
Feedback001, 1, EMG_Zygo_RMS, 11, 9, 6.597998E-04
Feedback001, 1, EMG_Zygo_RMS, 11, 10, 8.446738E-04
Feedback001, 1, EMG_Zygo_RMS, 11, 11, 4.725448E-04
Feedback001, 1, EMG_Zygo_RMS, 11, 12, 4.500969E-04
Feedback001, 1, EMG_Zygo_RMS, 11, 13, 3.200159E-04
Feedback001, 1, EMG_Zygo_RMS, 11, 14, 7.157548E-04
Feedback001, 1, EMG_Corr_RMS, 12, 1, 1.548715E-04
Feedback001, 1, EMG_Corr_RMS, 12, 2, -1.091715E-04
Feedback001, 1, EMG_Corr_RMS, 12, 3, 0
Feedback001, 1, EMG_Corr_RMS, 12, 4, 3.180539E-04
Feedback001, 1, EMG_Corr_RMS, 12, 5, -5.000478E-04
Feedback001, 1, EMG_Corr_RMS, 12, 6, -5.148139E-04
Feedback001, 1, EMG_Corr_RMS, 12, 7, 1.680201E-04
Feedback001, 1, EMG_Corr_RMS, 12, 8, 3.673637E-04
Feedback001, 1, EMG_Corr_RMS, 12, 9, 4.512747E-05
Feedback001, 1, EMG_Corr_RMS, 12, 10, 3.917198E-03
Feedback001, 1, EMG_Corr_RMS, 12, 11, 8.301118E-04
Feedback001, 1, EMG_Corr_RMS, 12, 12, 3.173875E-04
Feedback001, 1, EMG_Corr_RMS, 12, 13, 4.809746E-04
Feedback001, 1, EMG_Corr_RMS, 12, 14, -1.44437E-04
Feedback001, 1, EMG_Zygo_RMS, 12, 1, 2.93682E-04
Feedback001, 1, EMG_Zygo_RMS, 12, 2, -3.057762E-04
Feedback001, 1, EMG_Zygo_RMS, 12, 3, 0
Feedback001, 1, EMG_Zygo_RMS, 12, 4, -1.884341E-04
Feedback001, 1, EMG_Zygo_RMS, 12, 5, -1.14257E-04
Feedback001, 1, EMG_Zygo_RMS, 12, 6, 2.026537E-04
